sha,author,date,message
9996ada61122ac971c52e300dd072d0574f437d8,Dillon Sharlet,2026-03-16 20:41:43+00:00,"Fix tests incorrectly checking for allocation type when the allocation is delegated

PiperOrigin-RevId: 884614841"
91f0b5e679af9c2a7fde023208e8a928a8768624,dependabot[bot],2026-03-16 20:07:01+00:00,"PR #39041: Bump actions/upload-artifact from 6.0.0 to 7.0.0

Imported from GitHub PR https://github.com/openxla/xla/pull/39041

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 6.0.0 to 7.0.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/actions/upload-artifact/releases"">actions/upload-artifact's releases</a>.</em></p>
<blockquote>
<h2>v7.0.0</h2>
<h2>v7 What's new</h2>
<h3>Direct Uploads</h3>
<p>Adds support for uploading single files directly (unzipped). Callers can set the new <code>archive</code> parameter to <code>false</code> to skip zipping the file during upload. Right now, we only support single files. The action will fail if the glob passed resolves to multiple files. The <code>name</code> parameter is also ignored with this setting. Instead, the name of the artifact will be the name of the uploaded file.</p>
<h3>ESM</h3>
<p>To support new versions of the <code>@actions/*</code> packages, we've upgraded the package to ESM.</p>
<h2>What's Changed</h2>
<ul>
<li>Add proxy integration test by <a href=""https://github.com/Link""><code>@​Link</code></a>- in <a href=""https://redirect.github.com/actions/upload-artifact/pull/754"">actions/upload-artifact#754</a></li>
<li>Upgrade the module to ESM and bump dependencies by <a href=""https://github.com/danwkennedy""><code>@​danwkennedy</code></a> in <a href=""https://redirect.github.com/actions/upload-artifact/pull/762"">actions/upload-artifact#762</a></li>
<li>Support direct file uploads by <a href=""https://github.com/danwkennedy""><code>@​danwkennedy</code></a> in <a href=""https://redirect.github.com/actions/upload-artifact/pull/764"">actions/upload-artifact#764</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/Link""><code>@​Link</code></a>- made their first contribution in <a href=""https://redirect.github.com/actions/upload-artifact/pull/754"">actions/upload-artifact#754</a></li>
</ul>
<p><strong>Full Changelog</strong>: <a href=""https://github.com/actions/upload-artifact/compare/v6...v7.0.0"">https://github.com/actions/upload-artifact/compare/v6...v7.0.0</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/actions/upload-artifact/commit/bbbca2ddaa5d8feaa63e36b76fdaad77386f024f""><code>bbbca2d</code></a> Support direct file uploads (<a href=""https://redirect.github.com/actions/upload-artifact/issues/764"">#764</a>)</li>
<li><a href=""https://github.com/actions/upload-artifact/commit/589182c5a4cec8920b8c1bce3e2fab1c97a02296""><code>589182c</code></a> Upgrade the module to ESM and bump dependencies (<a href=""https://redirect.github.com/actions/upload-artifact/issues/762"">#762</a>)</li>
<li><a href=""https://github.com/actions/upload-artifact/commit/47309c993abb98030a35d55ef7ff34b7fa1074b5""><code>47309c9</code></a> Merge pull request <a href=""https://redirect.github.com/actions/upload-artifact/issues/754"">#754</a> from actions/Link-/add-proxy-integration-tests</li>
<li><a href=""https://github.com/actions/upload-artifact/commit/02a8460834e70dab0ce194c64360c59dc1475ef0""><code>02a8460</code></a> Add proxy integration test</li>
<li>See full diff in <a href=""https://github.com/actions/upload-artifact/compare/b7c566a772e6b6bfb58ed0dc250532a479d7789f...bbbca2ddaa5d8feaa63e36b76fdaad77386f024f"">compare view</a></li>
</ul>
</details>
<br />

[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=actions/upload-artifact&package-manager=github_actions&previous-version=6.0.0&new-version=7.0.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot show <dependency name> ignore conditions` will show all of the ignore conditions of the specified dependency
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)

</details>
Copybara import of the project:

--
1b6408e509a0504f100941f567785fb37b1db48b by dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>:

Bump actions/upload-artifact from 6.0.0 to 7.0.0

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 6.0.0 to 7.0.0.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/b7c566a772e6b6bfb58ed0dc250532a479d7789f...bbbca2ddaa5d8feaa63e36b76fdaad77386f024f)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-version: 7.0.0
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Merging this change closes #39041

PiperOrigin-RevId: 884600137"
f7696333d744546f9c7e7d21b9988366192def64,Parker Schuh,2026-03-16 20:06:28+00:00,"Add support for atomic speculative scheduling to worker_thread.{cc,h}.

PiperOrigin-RevId: 884599883"
70e0cfd9361fa6d539b6be0baed6889e8f24adf0,Dillon Sharlet,2026-03-16 19:59:35+00:00,"Don't handle concatenate ops that add new dimensions

This case currently fails in XNNPACK, so this should not break any existing use case.

PiperOrigin-RevId: 884596850"
18772f01e589c3a23169f7d785a0d09531f0e3a2,Enver Kayaaslan,2026-03-16 19:55:05+00:00,"Introduce UnflattenCallGraph pass after shardy outlining.

It is a literal no-op at the moment.

PiperOrigin-RevId: 884594714"
46a19ab70d4d0008b455ff2eaf5c564a44bee375,Junwhan Ahn,2026-03-16 19:45:41+00:00,"Rollback due to internal breakage

Reverts 6d086c3727e39f0702016791c81386b93b4d7b2f

PiperOrigin-RevId: 884590646"
2ec03b5513e641bf99450f305503c2188518dc38,Kingston Mandisodza,2026-03-16 19:40:30+00:00,"Add NamedSharding support to GetAllToAllSharding.

PiperOrigin-RevId: 884588354"
da1b60beb415211263748ba44021921876192556,Dillon Sharlet,2026-03-16 19:06:20+00:00,"Remove use_simple_allocator arguments to BuildInterpreter

This is unused.

PiperOrigin-RevId: 884571632"
874e2b25c190a718c4e02d0a5649b35fc297cff7,A. Unique TensorFlower,2026-03-16 18:45:31+00:00,"Try to get the default config in cudnn backend.

PiperOrigin-RevId: 884560877"
4297bef3c7cf6ee3a4ad16ff7e89ebfc7e386208,Eugene Zhulenev,2026-03-16 18:44:20+00:00,"PR #38921: [xla] Add Bant macro expansions for XLA test targets

This allows buildcleaner-like analysis of XLA tests to detect missing dependencies.

This closes https://github.com/openxla/xla/pull/38921.

PiperOrigin-RevId: 884560380"
